clean_tweet,sentiment_result
kayaknya sekolah lain sudah balik pjj lagi sekolah gue tetap ptm aneh,2
kalau punya cewe mending ptm tar biar bucin plek plek plek tiap,5
sekelas positif covid semua kantin sama kopsis sekolah ditutup tetap disuruh ptm,2
pjj karena ptm teman gak asik kalau pjj capek gak kuat ngerjain tugas gak masuk otak kalau,-5
lemes bre ptm isinya kerja kelompok praktek laporan presentasi niatnya mau kejar materi malah isinya,-13
kalau ptm di ganti belajar online trus pelajar vaksin kemarin sampai ada dipaksa,7
awal wow bercandain ptm dadakan awal nyaman ptm walau tugas numpuk numpuk,-3
setelah ptm aku jadi males banget,0
ptm mending kalau ada ulhar online semua aja,1
takut nanti pjj lagi jujur sebenernya gue males ptm tugas kelompok banyak banget gue males kalau ngerjainnya online online ribet,-18
mau nangis aja sekolahku balik sistem pjj bismillah balik ptm lagi,-8
males yakin sama siswa guru buka masker seenaknya ptm,7
hoo kentut ptm kentut kentut,-6
aku dengar dari kalian ptm ya tatap muka belajarnya kerjanya belum wfh kasus sudah naik,-11.0
gak punya temen sebangku duduk sendiri karena belum ptm,-10
ptm pjj membuatku malas belajar,-4
mending turu besok ptm tai kucing,-3
yolahh gue seneng pjj lagi ptm lebih seru rasanya,5
enak bener ptm,8
update terkini aku wes mulai bosen ptm,2
sama bayangin ptm tetap dikasih tugas,7
sudah aja awali semangat walaupun sekolah sudah ptm tetap belajar,21
ptm membuatku sibuk,4
es pjj jangan kelamaan kayaknya aku bakal kangen ptm,-5
besok ptm males banget pengen bobo,0
udah seru seru ptm,10
hadeh gue sudah sibuk lagi gegara sekolah sudah ptm bentar lagi wisuda kshakahsa seneng banget wisudanya offline,7
oke aja sekolah aku ptm udah ada kena soalnya,8
ptm semoga ptm amin,3
belum ptm sekolah lain sudah ada kena omnicorn yaudah yuk pjj lagi wkwk,7
dahlah dari awal sudah tidak yakin ptm bakalan awet,1
jujur lebih suka ptm tapi temen gue beda sesi gue gapunya temen lagi di sesi sama kaya sebelumya,2
gaenak kalau ptm selama belajar narik ingus mulu,-2
mungkin gara ptm gue sering julid jadi suka lupa pls,-1.5
semenjak ptm gue jadi suka lupa deadline tugas kalau lagi pjj gue inget,-6
ayolah hentikan lagi ptm kesehatan semua warga jakarta,-8
pjj ptm pahamnya sama aja tp kurangnya kalau ptm tugas banyak jadi fokus materi,9
gila ngeri banget sekolah ptm bru di kabarin kalau ada siswai positif covid untung milih ptm karena dilarang tua,1
baik baik besok aku ptm lagi ihh mls banget,-3
anjay besok ptm,-3
ptm cape tau ahaha,-8
ptm lagi bangsat,-8
ptm malah capek banget,5
sekolahku ptm nder dari awal lalu ademm banget kayaknya gak ada kasus covid sama sekali,3.0
kayak gak konsisten banget pjj ya pjj ptm ya ptm,6
lagi nyamannya ptm,-3
gue takut full ptm karena karena tugas tugas sudah baris mau ngejar gue,-5
ptm gak enaknya cuma pas kelompokan,0
harusnya jadi online aaa iya ada seru ptm,10
iyaa capek ptm,4
sama anjir kalau pjj emg banyak banget tugasnya kayak ptm,3
ptm sudah mau remuk anjir badan,4
ptm pelajarannya lebih masuk otak kalau pjj jujur aja guruku jarang banget zoom jadi cuma ngasih materi,7
ptm mending pjj,2
bangsat doain sekolah gue biar pjj males bangun pagi anjing kalau ptm,-10
lama gue jadi pengen pjj aja ptm,-2
sudah ptm jdi ptmt lagi sialan,-3
ada kasus positif sekolah tetap tenang ptm biasa rambut gondrong dicat pulang dulu mas mbak dibenerin dulu rambutnya nggih,-21.0
kembaliin tidurku woi anjir ptm makin banyak aja tugas,6
males besok ptm,-4
gue bosen cuma ngerasa lebih seru ptm aja,-5
serius moga ptm dah bosen,-11
sudah sekolah dah ptm gegara naik lagi kasusnya ada omicron segala,4
sekolah sender mau balik ptm lagi huhu,2
haduh mtk menyusahkan untung besok pjj kalau besok ptm ketar ketir aku belum ngerjain pr mtk,3
ptm dong biar semangat belajar,5
gatau lagi bingung mau ngapain rumah mau ptm,9
besok ptm lagi aku galau lagian jadi banyak positif elah,4
sudah lelah ptm,9
males banget ptm besok,-3
besok sekolah ptm males sampai tulang,3
sekolah mau stop ptm aja ya banyak anak belum usia vaksin,15
semoga pjj sampai tahun ajaran berakhir ya allah gatau gak suka ptm,7
bajingan ptm baru awal tugas presentasi banyak banget ngentot,-10
