date,original_tweet_text,tweet
Thu Feb 03 16:18:41 +0000 2022,"@IdrisAShomad Tolong pak jgn sampai PTM dihentikan, kasihan anak2 kami sdh divaksin, tp hrs belajar dari rumah lagi. Sekolah anak saya Al Hamidiyah sangat Prokes, bahkan yang lain sdh PTM 100 persen, sekolah Al hamidiyah memilih 50 persen karena kehati-hatian. Semoga Depok tetap PPKM level 2",tolong jangan sampai ptm dihentikan kasihan anak sudah divaksin belajar dari rumah lagi sekolah anak saya al hamidiyah sangat prokes lain sudah ptm persen sekolah al hamidiyah memilih persen karena kehati hatian semoga depok tetap ppkm level
Thu Feb 03 16:17:37 +0000 2022,"Tpi ya dari awal PTM jga aku udah kayak feeling pasti bakal PJJ lagi. KayK udh tau nnti beneran bakal kembali PJJ, cuma gatau kapan. Bener aja",dari awal ptm aku sudah kayak feeling pasti bakal pjj lagi kayak sudah tau nanti beneran bakal kembali pjj cuma gatau bener aja
Thu Feb 03 07:10:27 +0000 2022,"@schfess ptm full, tapi kalau keadaan sudah mendingan
untuk sekarang lebih baik pjj, takutt:(",ptm full kalau keadaan sudah mendingan sekarang lebih baik pjj takut
Thu Feb 03 16:15:39 +0000 2022,w jjnin smpe abis krna mikir bakal ptm trus eh anjer au ah,gue jajan sampai abis karena mikir bakal ptm eh anjer tau ah
Thu Feb 03 16:15:38 +0000 2022,"@tempodotco tidak usah, luhut mau covid naik makanya bandara los dol, ptm sekolah los dol, artis borju los dol, maklum luhut takut miskin lagi jualan",tidak usah luhut mau covid naik makanya bandara los dol ptm sekolah los dol artis borju los dol maklum luhut takut miskin lagi jualan
Thu Feb 03 16:15:04 +0000 2022,"@schfess Udah dibuka dri awal PTM 100%
Mn gdak prokes, ngeri banget
Tpi gimana lg kantinnya ngegodaa😭",sudah dibuka dari awal ptm prokes ngeri banget lagi kantin menggoda
Thu Feb 03 16:15:01 +0000 2022,"@schfess pernah gini juga semester lalu, kampus ngelarang ptm tapi ada tim dosen prodi pada ngeyel, satu sircleku positif, untung aja kami dapetnya pas hari2 terakhir mulai libur semester, untung aja kami semua hanya gejala ringan jadi pas tau hanya saling haha hihi",pernah semester lalu kampus melarang ptm ada tim dosen prodi ngeyel positif untung aja dapetnya mulai libur semester untung aja semua gejala ringan jadi tau saling haha hihi
Thu Feb 03 16:14:55 +0000 2022,PTM bikin jantung was-was�,ptm jantung waswas
Thu Feb 03 16:14:19 +0000 2022,"@convomf Ptm 50, jangan sampai PJJ lah :( nanti nilai anjlok lagi",ptm jangan sampai pjj nanti nilai anjlok lagi
Thu Feb 03 16:13:57 +0000 2022,"@HaekalHanasta Kall aku gakuat sekolah online pusinkk tugasnya banyakkk bgtt 
Pengen ptm Ajaaa huhuhu",kalau aku kuat sekolah online pusing tugasnya banyak banget pengen ptm aja huhu
