id,created_at,source,original_tweet,,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1.50642E+18,Wed Mar 23 00:04:36 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@luvujenolee ptm ujian di sekolah,,in,0,0,Bmoon_angel,,,luvujenolee,Nana ,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:04:29 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Yang ptm sih gabisa makam bubur kacang ijo😁 https://t.co/n8tV31YXao,,in,0,0,NakitaMakka,FALSE,,,maunya sih di B612 sama kamu,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:04:14 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@iIovyuu ptm ntar siang,,in,0,0,usermatho,,,iIovyuu,✝,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:04:12 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hari ini akuu ptm dianterin mas kras awikwOk💀💀💀,,in,0,0,hyunniecha,,,,she/her`07L,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:03:53 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ptm dulu ygy https://t.co/XHAcMQW2XH,,in,0,0,enparksunghoon,FALSE,,,she / her 09L,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:03:52 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hari ini kalian pjj/ptm?,,in,0,0,changmkyu,,,,she/her,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:03:30 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hari nie ptm karna butuh uang 😢☝🏻,,in,0,0,cutiesungwon,,,,she/they — 4teen,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:03:24 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@detikcom Sudah gak laku min. Mulai hari ini SMP dimana anakku sekolah aja sdh PTM 100%! Alhamdulillah covid dah mulai menjauh,,in,0,0,anugrahvi,,,detikcom,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:03:06 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@mairearchy mi lagi ptm apa pjj,,in,0,0,skiesgumi,,,mairearchy,he/they. ar56 asia,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:03:03 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SELAMAT PAGII SEMUAAAA, semangatt yaa yg hari ini ptm atau pjj ataupun masih ujiann, aku hari ini baru ptm lagii 😸😸",,in,0,0,augustype,,,,she 𖥻 06l 𖤐,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:02:59 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@inipuunyakai pagi, semangatt ptm nyaa kak puu",,in,0,0,ersg_bbh,,,inipuunyakai,only exol,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:02:44 +0000 2022,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@uangrenjunh Pagii,udah dong, ptm nii",,in,0,0,mw0rklee,,,uangrenjunh,,
,,,,,,,,,,,,,
1.50642E+18,Wed Mar 23 00:02:37 +0000 2022,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@chifmatsuno kayen pjj apa ptm,,in,0,0,skiesgumi,,,chifmatsuno,he/they. ar56 asia,
,,,,,,,,,,,,,
