clean_tweet,sentiment_result
pjj soalnya kalau pjj kaya fleksibel aja waktunya kalau ptm capek banget asli bener bener gak kuat,3
anak saya kelas sma keluarkan oleh pihak sekolah karena memilih tidak mengikuti ptm,-23
tim ptm soalnya kalau pjj kaya libur gurunya kalau pjj suka kasih materi bentar tiba uh sebel,-1
gua ptm aja ya,1
ptm seru bareng temen pjj tugasnya makin banyak,13
buat ptm semangat ya,9
terlanjur nyaman ptm meskipun pulang pulang encok,-1
dah ada pilihan buat tua ptm pjj,3
yahhh masa nanti ptm lagi,-7
pls ptm jangan sampai pakai absen ganjil genap mending aja shshsjdjd,-4
ya allah mau ptm,14
beneran ptm,3
sudah ptm lagi ditempatku ptm bang anak sd buset jajan berkerumun,-4
semangat nder semoga cepat balik ptm lagi,2
aneh banget ptm gak anak kelas aja soalnya sibuk,7
pjj niss gajadi ptm gegara word lagi naik,-7
anjing masa sudah ptm dikasih tugas gcr,2
katanya tak begejala bergejala ringan ptm dki tetap dilanjutkan kalau ngerasa sakit segera pcr diuntungkan dari situasi seperti,-7
pagi enak banget ptm,7
sudah saya contohkan kalau ptm ditutup cari uang kalau cafe ditutup gak ada omset karyawannya kerja pajak pasti berhenti mungkin terjadi menurut saya lho salah contoh pertimbangannya mungkin kalau mau jelas tanya gub,1
iyaa mager ptm karena nggak punya temen wkwk,-10
pengen cepet cepet ptm,7
kampus aing gak jadi ptm feb aja sekalian online aja karena kasus lagi naik sekolah sma aing sudah kena,-4
yaudah kalau ptm jalan sekalian cabut status pendemi biarin rakyat hidup bebas malah gak jelas desember berita covid terkendali ehh sekarang naik lagi covid covid tai kucing,-20
aaaaa tidak ptm lagi,-2
kalau pertimbangnya sektor ekonomi pendidikan ada pertimbangan seperti ditulis dalam berita,1
ptm boleh mudik boleh awas aja yaa,6
iya duh takut banget mau ptm semoga pjj aja deh ngeri,0
sadar pjj goblok ptm,-2
sudah bener ptm malah daring lagi ngentot,1
sudah seneng ptm eh pjj,10
ptm ihh enak bangett,-2
kalian jadi pjj sampai seterusnya gue cuma aja pjj balik ptm,-6
amin banget kalau pjj mah serem banget kalau liat banyak ptm,3
gak banget dah sudah enakan ptm,6
yuk ptm lagi,2
bagi perusahaan menerapkan test tracing baik prokes kendor ptm sangat mempengaruhi,8
jika kesehatan keselamatan anak anak dki abaikan saja penolakan jalankan pjj seperti,-12
kasian banget daring lagi alhamdulillah aku ptm hihi,3
iri iri iri sama ptm,-9
sudah nyaman ptm eh daring lagi,7
gilaa kasus covid banget sudah ptm mampus aduh muka tenggelam aja,-2
sorry gue lebih suka ptm deh hybrid penting ptm mata kuliah gue praktek,-9
sekolah gue ptm anjing lagi nekat banget sekolah gue,-5
kalau benar omicron sangat berbahaya ada ditolak permohonan penghentian ptm maka menolak telah melakukan perencanaan pembunuhan kepada anak sekolah para pendidiknya kira begitu pendapat saya,-7
sekolah ptm yes,6
ptm gue selalu kehilangan semangat belajar kalau pjj kalau sekolah sambil ngobrol diskusi sama temen materi jadi lebih ngerti,4
kalau selama masuk ptm jaga prokes yes salah kalau sudah pakai masker jaga jarak tetap kena ofc ur fault emg mulutnya kayak anjing nder anggep aja anjing menggonggong angin lewat semangat sender,1
kalau aku ptm doang belajar dari rumah sama setengah sekolah belajar dari rumah deh,0
kalian sudah ptm kalian lebih suka online offline guys,10
bukan bela setidaknya sudah tolak ptm seperti sekarang ditolak pemerintah pula dalam sisi lebih baik,3
iya jelas ptm dong stres gue pjj mulu,-5
ptm lanjut sekolah mewajibkan swab antigen mandiri lumayan tiap tua murid keluarkan dana ekstra antigen catatan ada anak sekolah swab antigen mandiri sekali swab,5
punya sekolah maksa banget ptm mau aman,7
iih males banget sekolah gue ptm lagi,-11
aku sekolah online lagi sudah enak ptm pakai sesi,13
bingung mau seneng sedih ptm distop,5
ptm dibuka ditutup anies bakal tetap disalahkan oleh pembencinya soal pilres kalau emang suka gak usah dipilih skip aja gak usah buat narasi seolah paling pinter memangnya sudah lakukan,20
kalau bentar ptm gue mau menghilang aja deh,-2
iya enak ptm,5
gue sudah ptm dari januari eh sekarang pjj lagi sedih,-11
curiga kalau sekolah cuma jam doang way pjj lagi cuma dibagi sekali ptm pjj,-4
bukan soal taat lebih punya kesadaran lebih lagian pertimbangan sektor ekonomi jadi tentu pertimbangan kalau usaha gak buka gak makan kalau sekolah gak buka masihlah makan lagian kalau ptm gak ditutup pasti tetap disalahkan apapun salah anies sekarang,-2
delta kluster perkantoran sulung omicron kluster ptm tengah lelah sangat,6
belum ada temuan klaster corona sekolah sragen ptm tetap berjalan persen,12
tutup dunia malam jika semua sudah tutup semua sasar sekolah stop ptm lh cafe cafe jakarta terutama,-1
wkwk liat dah kata ptm supaya anak paham anjeng paham bapak zoom pakai laptop siswa web cam gak dipake internet pakai kuota gue super duper mega get well soon buat gue kuota dipakai buat rumah paham,-11
ptm diy kembali persen wali murid wah pusing pusing aku,2
jangan pikir nder saya lagi ptm,-8
gue daring lagi sudah nyaman ptm jujur,7
ptm pasti susah kalau dipaksain offline semua makanya online,-7
engga lagi ptm malah ptm pagi,-1
nggak suka ptm,-2
aku kelas ipa kalau ambis ambis bangett aktif banget kerasa banget kalau ptm,-3
ptm distop supaya bisnis pcr mandeg oh tidak mungkin saya setuju,-6
hadeh semoga besok beneran ptm lagi gue sanggup pjj,-5
nggak masuk ptm lagi seneng nanggung banget besok libur,11
kalau disekolahku pjj sama ptm sama aja kalau pjj selama ada jadwal zoom full dari pagi sampai aku lebih milih pjj supaya ngekos,4
asli sumpah ptm aja dapat,9
dah seneng ptm lebih gampang nyari nilai taunya pjj,10
pancen menyebalkan cara berpolitik bahasa kalem santun nyebelin sudah tau ptm kewenangan kapala daerah dilempar lagi luhut alasan skb mentri,-1
make alarm gue otomatis bangun kalau emg ptm gue bakal bangun jam kalau libur biasanya jam,-5
sekolah ptm gatau bakal pjj gak,-4
jangan dengerin lbp karena menjadi tanggumg jawab akhirat kelak ptm hentikan aja usah minta perse istana,-1
sudah pjj lagi aja banyak gaya ptm kira siswa semua taat prokes wkwk,12
jika demi kesehatan keselamatan anak anak dki abaikan saja penolakan jalankan pjj seperti bogor tangerang bekasi jangan cuma ngadu media,-20
supaya ga sama salah mari dibaca isinya tidak ada kata menjelaskan penolakan selain disini tua bebas menentukan apakah anak didiknya mau ptm online kapasitas maksimal,-12
ptm please gua pjj semua materi masuk lama banget langsung konek keterbatasan sinyal belum lagi kalau kelompok sumpah tuhan repot banget walaupun sambil nyantai tetap gasuka ptm walaupun capek pulang pergi sekolah kaya seru,-10
gue kemarin sudah mulai nyaman ptm eh sekarang pjj lagi,4
gue beneran gajadi ptm lagi word caper anjir,-5
mending ptm lahh kak anaku bangku dasar klu ada tugas dari guru mboknya puyeng,-2
sebenernya kalau nggak males baca sudah tertulis jelas aturan dibuat pusat bahwa ptm ppkm level masuk kriteria daerah lain vaksinnya tidak seperti jkt jadi boleh tidak nanti kalau nggak ngikutin dibilang tidak nurut aturan pusat ha ha ha,21
nganterin sekolah karena emg jadwalnya hybrid sampai sekolah suruh balik rumah karena kebijakan pemerintah stop ptm sementara mantap mamank pegel kaki saya make mobil manual rumah jauh kesehatan bersama,2
sumpah gue aja kemarin ngerasa mulai nyaman ptm sekarang balik pjj lagi,-1
kemarin ptm sudah tau ada omicron sudah lagi coba kalau sesi sesi berkurang,6
syukur deh walau daring pusing kena covid moga aja ujian kelulusan ptm cepet kelar aja gue stress covid mulu,-5
respon sekolah cuma berhati hati doang ptm tetap lanjut even guru gajelas,13
sudah ptm terbatas alias gue takut buat ptm soalnya sekolah gue paling tinggi kena covid,4
ptm gua sangat males ketemu temen,-7
ya ptm lagi omicron angka itu bukan angka real jadi liat angka satgas jangan telan mentah jadi tolol jauh dah juta kena omicron baik ringan sedang kalau mau ptm gak tes pcr gedor tiap sekolah min dari siswa,-2
guru daring ngajar negeri sekolahku sama swasta sudah mulai ptm akhirnya guru mutusin buat resign dari swasta soalnya negeri ngajar banyak kelas,8
dunia malam bebas dunia pendidikan ptm mau distop selama diganti pelajaran jarak jauh kaya,6
ptm bukannya lebih cape,-5
belum tau disini ptm pjj jadi gantian,-3
pengen ptm lagi biar ketemu sayang,6
ptm gatau seru aja ptm selain cepet sambung jadi ketemu temen jadi belajarnya kerasa cape cuma kurangnya kebanyakan kerja kelompok mulu,1
evaluasi ptm pimpinan komisi dpr ri kantor kantor saja wfh masa ptm gak ditengah lonjakan covid benar setuju pendapat komisi dpr ri tersebut bukan penyakit musiman virus walaupun tingkat kematiannya rendah,13
ptm katanya sarat masuk ptm anak anak vaksin tetiba ptm dibatalkan karena ada omicron datang fungsi vaksin buat ajujur nanya saya mah ruwet,-25
super duper mega kesel karena ga jadi ptm,-3
sudah nyaman ptm tiba tiba daring kayak ghosting cowok,6
anak saya kena positif setelah paksa mengikuti ptm jika tidak ikut maka tidak dapat materi dari sekolah sekarang kena,-12
sudah jelas kehadiran tua berhak memilih anaknya pjj jadi deal sekolah langsung tua siswa dalam hal pemda melalui disdik gak memaksa ptm kalau nyatanya tua memilih pjj,12
ya allah pengen ptm aku capek pengen ptn,13
sekolah biasa ptm ulangan online,5
sudah nyaman ptm,9
ptm dikasih tugas guru gurunya ada rapat ngerjain tugas sambil nonton upin ipin,6
sedih kalau ptm dihentikan,-6
anjir sudah nyaman sama ptm gasi,13
wkwk iyaa anjing gua selalu males ptm lagi nyaman,-10
enak bangett gue sudah gumoh sama ptm,7
pengen ptm banget,4
ptm deket temen cepat paham sama materi duit jajan,7
sudah enak ptm dapat duit jajan eh malah daring lagi,10
sad banget sudah enak ptm,7
boro boro pjj sekolah gue dari agustus ptm haha,-10
keraguan tinggi gue senang dukung banget anak ptm termasuk masgub punya,6
aku daring lagi soalnya ada guru positif enak ptm,15
ptm tetap berjalan para penerus bangsa mendapatkan pendidikan layak semestinya cafe cafe diseluruh,8
cirebon anak sekolah sudah ada positif info dari sekolah wkwk ptm pakai masker dokumentasi doang,7
ah seru ptm,5
gua kangen bangett aaaa gila ptm bener bener day kaya anjir sempat banget buka twt ngikutin anak anak lelah ptm,9
ah aja ptm jakarta lho terlebih usulan anies ditolak sama luhut hebat,0
enak banget ptm,6
ptm enak dikurangin uang jajan ketemu temen temen belajarnya bener kalau pjj aku males ngerjain tugas,3
sekarang sekolah sudah full ptm,8
gue sudah nyaman ptm kalau kondisinya nyaman mending pjj aja lagi,9
enak banget ptm semangat ptm,10
sudah mls ptm kalau jadi semoga sekolah,4
aduh rencana mau ngekost disuruh nunda soalnya virus makin naik sudah sekolah disuruh pulang kayaknya bakal dibolehin ptm lagi,9
bener aku ngerasa nder kemarin perasaan aja ptm kerasanya cuma ternyata uda ptm eh ternyata aku uda balik pjj kerasa sama sekali,3
aku ptm huhu,2
jadinya ptm yey aku diizinin sekolah,5
iyaa bener sudah terbiasa ptm,11
iya emg agak ribet sama sekali ga ptm cape pjj ada interaksi guru mau chat guru kayak segan banget bukannya langsung direspon kalau ptm enak langsung direspon,11
lebih konteks ptm pjj aku lagi libur semester sekarang mah semester genap nanti sama kayak sebelumnya offline buat mau ajaa aku belum mau jadi rumah,16
demen pjj dah wkwk iya gue tau emg situasi ga memungkinkan banget buat ptm,-7
wkwk aku pribadi lebih prefer ptm karena lebih produktif takut banget kalau pjj lagi,1
ptm makin tenang hidup,9
pramono ptm tetap jalan karena aturannya level jadi surat diknas tidak mengatur sekolah boleh pjj kalau mau masuk antigen akal pengusaha,6
huhu enak aku ptm kemarin,7
sudah nyaman sama ptm cuma kalau masuk buat cari penyakit buat,0
iya anjing ngeselin banget ptm bukannya makasih sudah gue bagi ilmu gue eh malah digituin gue gigit,-17
keliatannya opung lihat jatuh sakit jadi proyek lagi gak mau ptm stop berkurang,-7
suka ptm kalau ulangannya pjj aja,3
asli gua benci banget ptm anjing,-1
gaenak maunya ptm,-4
alhamdulillah jadi ptm,6
gue setuju ptm full soalnya seru karena keadaan lagi gak memungkinkan yaudah pjj menyiksa banget anjir buat anak smk bentar gue lulus ngang ngong ngang ngong,-3
sudah nyaman banget ptm semoga aja pjj benar cuma rada trauma soalnya sama kata,14
aneh ketika covid sedang tinggi ptm dihentikan sementara kalau sudah landai ptm dilanjutkan,6
gamau ptm,-4
pjj mulai dari kemarin cuma sampai tanggal tanggal sudah mulai ptm lagi,-7
huhu sama serentak deh pjj ptm,6
wah mantap muff aku jadi pengen lari lagi kehalang sama ptm mulu jadi suka gak sempat,19
iya kayak mahasiswa baru ptm bentar oh kirain diatas aku wkwk,-1
cape banget aja mulai ptm beberapa eh sekarang sudah daring aja lagi gue mau woi kehilangan masa sma gue kenolepan,-4
ptm kalau jelasin langsung masuk otak,2
vaksin sudah lebih ptm mau distop gak ada guna percuma tak berguna,17
semoga ptm lagi secepatnya yaa,1
halah giliran kasih ptm ada komplain nyalain lagi pusat dasar buzzer dki,5
aku belom nyobain ptm full,3
sudah pjj lagi aaaa sudah seneng ptm,13
anjir ptm,1
ptm batal anjir jadi daring,-2
setuju nanti makin parah makin gak ptm full lagi,2
ptm karena ulangan jadi bentar aja,-2
daring penting jangan ptm pjj lagi,-4
gue ptm allah amit amit pjj lagi dah,-12
banyak izin ptm kalau kaya mending gue lanjut bobo,1
kalian ptm pjj pjj lagi ngentot sebel,-12
sudah senang ptm eh malah kembali online,10
jujur enakan ptm materi gampang banget masuk otak enaknya kalau ngerjain tugas pasti gurunya keliling jujur males sama guru keliling,16
ptm anak sekolah tindakan lagi gegara covid entah mengapa nggak ada antisipasi dari awal pihak sekolah dinas,-8
dom serang banten pjj ihh sekolah ptm jadi masuk ada sesi pagi sama banyak masuk soalnya takut sama omicron ada kena kalau kaya mending daring lagi gasi,6
pagi buka grup ada info kasus covid meningkat daerah sama  kurikulum jadwal berubah bakal blended learning utamanya online sudah ptm eh sekarang begini lagi seneng banget wkwk,6
gamau pjj pls sudah enak ptm,3
kangen ptm,3
semoga sekolah gue tetap ptm walaupun cuma sudah seneng,9
gue benci banget daring allah liat sekarang gue bangun anjir males mandi kaya semangat sekolah ayolah woi gue mau ptm,11
senang ptm lain sudah pjj lagi tiba sekolah aku diumumin pjj tengah malem aaaaaaa,10
betul enakan ptm,7
sebenernya enak ptm lebih ngerti materi cuma ptm nggak ada istirahat capek,-4
anjing mau ptm lagi,-1
sekolah gue belum njir gue lagi nungguin pjj lagi soalnya cape banget ptm,-15
ptm kelas aja plis saya butuh interaksi sama temen kalau kesusahan,-13
membingungkan sisi gembar gembor covid meningkat lagi disisi lain bersikukuh tetap ptm maunya boss,-3
jelas ptm pjj makin males aku,1
pjj males ptm kebagian sesi sore mulu,-2
kasian banget jadi gue ptm full ketemu sayang ptm pakai sesi ketemu sayang sesi sekarang malah pjj sayang doyan banget diem dikelas hah cape duduk gatau kalau aku kangen lagi bentar lagi gue lulus woy,5
setuju ptm ditunda sampai penularan memang terjadi disekolah terjadi kerabat anaknya,19
anjir aku takut kalau tiba tiba ptm pembagiannya pakai absen ganjil genap anjir temen temenku genap anjir aku ganjil,4
mungkin maksudnya biar siswa terpapar omicron disetujui stop ptm dki mungkin lho,14
ptm aja deh segitu aja badan saya sudah remuk,-8
salah alasan mau ptm pjj banyak masalahnya,4
sekolah gue doang kayaknya kekeh ptm hadeh,-7
sudah enak ptm,10
aaaaa sedih banget sudah nyaman ptm,5
ptm males banget,-3
ptm males dibully lagi,-11
sudah nyaman ptm eh daring lagi sumpah,11
bukan ga suka sekolah ptm lebih kurang banyak momen temen kelas jadi kayak bosen bosen karena obrolan mulu kayak ga ada bahasan lain aslinya seneng ptm ketemu srek buat ono engga risih,-19
setuju jangan stop ptm,5
sejujurnya sekarang gue setuju karena gue sudah nyaman ptm gue sudah mulai kaya sebelum pandemi jadi anak mudah,3
jujur iyaa ptm ga tau tugasnya lipat lebih banyak,12
khusus pelajaran maunya pjj haha malah ptm,1
