,tweet
354,ptm ptm penyampaian materinya ngga kelas ngerasain
355,enakan ptm rumah kaya dongo
356,gamau maunya fokus anak anak kelas  ptm berisik banget guru marah
357,yeah ptm alhamdulillah
358,ga pengen ptm tetep sesi engga gabung
359,gasih ptm
360,tugas ptm ga ngotak parah
361,nder ptm nyaman
362,ptm rame mudah ngerti materinya
363,semester ptm way semangatt sender semoga nilainya memuaskan
364,ptm deg degan ptm kadang males mata pelajaran
365,sekolahku ptm wajib ptm ngga milih ptm takut banget
366,berat badan sebenernya felt confident bsegitu badan bagus know th
367,bgtt sekolah nerapin kena kebijadikan sekolah langsung pt
368,daring anak sekolah memaksakan ptm komitmen sekola
369,yadongg ptm cpet pulangnya yhahhaa iri loe
370,anakku ptm capt online rumah
371,hentikan ptm persen pemda
372,melonjadiknya harian akibat varian omicron subvarian lbh
373,status pandemi cabut sekolah ptm kembalikan keputusan pd
374,ptm pjj wkwkwk alias ptmt
375,kasusnya ppkmnya turun persen turun
376,daerah langsung berani ptm daerah anjr
377,seh samaa sekolah full siswa guru sehari bersihbersih kela
378,pjj ptm oke
379,jujur pjj efektif ptm efektif
380,saran perhimpunan penkan guru pg ujung tombak penkan semoga gubern
381,seharian isinya sambat mulu ttg tugas sekolah emang secapek pulang ptm jam kerjadi
382,ahh shit binder catetan mtk ketinggalan laci kelas besok sekolah gegara ptm
383,hhmmmxfxfxax yth prof ptm siswa pekanbaru samap
384,kayaknya otomatis liburin dehh tetep ptm tempetku gituu stay safe waa
385,susah hindari dok bekasi ptm wfo
386,ibuk suka memantau kepatuhan prokes sekolah aktif memantau kesiplinan nakes
387,ibuk suka memantau kepatuhan prokes sekolah aktif memantau kesiplin
388,siswa terpapar covid ptm turun persen via
389,stress ptm back
390,minimal mah ptm sisanya pjj terusan pjj anjir
391,gaada nder ptm
392,covid melonjadik asosiasi guru desak ptm persen
393,iya denger ptm ptm
394,liat lapangan pelaksanaan aslinya sekolah ruwet
395,banget ptm pjj ptm
396,sekolah rin ptm gegara word rin milih masuk sekolah takut
397,gegara kabupaten level omicron ptm
398,lebihnya pjj jenuh enak cape fisik ptm asik ketemu teman
399,males ptm nder mending pjj
400,ptm nder kelas gantian masuknya sesi selang seling sehari
401,jujur suka ptm temen beda sesi gapunya temen sesi kaya
402,sender pengen pjj pengen ptm
403,sekolah sender ptm huhu enak full
404,evaluasi ketentuannya level balai kota dki jadika sumbe
405,kuliah ptm terbatas tingkatan paud tk ngatur ri
406,anak anak sekolah jakarta rada khawatir ptm full covid
407,suka ptm karna ketemu crush pjj karna seru rumah beljadir
408,assalamualaikum sehubungan angka covid dki layak ptm
409,ngajadir sumpah capek banget wes mending pjj ptm separoh
410,ptm ko ptm lanjutkankasian anak sement
411,ga stop minimal ptm
412, ptm anjir menggabut
413,guyss doain daerah safe yaa biar sekolahku tetep jadilann tetep ptm
414,ptm asik
415,bekasi ketularan kayanya ptm suruh belajar rumah guru positif
416,ketentuannya ppkm level ptm turunkan persen riza
417,ptm menurutku kondusif banget kelasku benerbener serame
418,ptm kemarin cepet gegara mata kuliah doang jadiin ptm sks sksnya sisa tetep daring
419,pjj kemarin ptm enak gaenak cape
420,ptm resiko penyebaran omicron anak terdampak
421,alias pewe banget ptm
422,ptm wkwk ngabrut ngakak brutal
423,emang bener ptm ujung ujungnya pjj
424,oiya lgi sekolah onlen klian ptm ptm
425,ptm jadii kaya ptm pjj gituu
426,pjj ptm minusnya tugas kelimpungan plusnya rajin
427,kayaknya siswa kena word pjj ptm
428,sekolah sender ptm sedih banget asik ptm
429,sekolahku ptm ih asalnya sekarng
