original_tweet,sentiment_result
kocak psbb diumumin pemerintah ngamuk sama lewat teel gue ngamuk lagi pemerintah karena setuju gub mau berhentiin ptm,2
pjj pengen ptm,3
aaa yaampun kemarin sudah enak ptm mau sekarqng malah ada belajar dari rumah lagi,15
benar bangett sekolah gue termasuk ketat banget sakit ringan sebatas batuk aja benar gaboleh masuk kemarin udah bersyukur banget nilaiku ilmu nambah karna ptm to be honest aku males banget rumah enak sekolah aja,5
masalahnya ujian prakteknya gadir kalau tetap ptm tugasnya seabrek alias emosi kalau mau ptm kelas aja kelas pjj buat ujian praktek,5
ngapain kirim surat pusat tinggal kepala daerahnya buat keputusan diberhentikan sementara ptm kebijakan ptm misalnya kepala daerah mikir bukan lempar tangan pusat,15
lebih ngerti ptm pjj ulangan aja wkwk,3
deh semoga virusnya cepat berkurang balik ptm lagi,-6
ptm kalau materi ulangan pts pjj,-1
pengennya ptm ujian praktek nanti daring aja hahaha,0
sekolah sudah gila ujian praktek daring vidio tetap ptm yaa ujian praktek sambil belajar pls waktunya buat vidio,14
walaupun aku pusing karena sekolah ptm kalau ketemu teman rasanya ada kurang,0.75
anna ptm belum punya temen jadi daring aja deh hehe,5
serius mending ptm aja anjing,-6
ptm lebih enak,6
sekolah gue pjj lagi plis males banget ptm,-7
ptm buat dipulangin soalnya anak kelas sebelah ada positif jadi pjj deh,-3
yaallah ptm aja mulai tanggal mau ganti daring lagi gue belum ngerasain woe,2
yahhh aku ptm,-1
gue mending pjj ptm sesi,-1
aku sekarang tim ptm kalau pjj sesesi sama sayang,2
kalau tetap ptm virusnya bertambah lagi,-6
tim setengah setengah kalau ptm agak jskskzjjss,-6
ptm dihati,3
yahhh sedih sekolah gue besok sudah ptm,-3
tetap ptm,3
semangat ptm,4
gurunya niat ngajar pertemuan masuk sudah ditelfon walas gua anjir aja kalau ptm masuk mulu,2
emang kudu diberentiin ptm selama buat yaa kalau kasus meledak usia usia sekolah perlu fasilitas khusus kalau ada case terburuk sampsai perlu rs sudah pasti persiapannya dikit banyak punya fasilitas ikutin aja lord luhut,nan
awalnya pjj akrab sama sekali kayak gamau kenal sama temen sekelas eh sudah ptm lama jadi asik,16.5
sama sudah nyaman ptm,12
aku tetap pengen pjj ptm ngeri sama sirkel gue anak bawang cuma diem,-1
beruntung say good bye walaupun capek ptm tetap aja bakal kangen seru ptm bitj daring gua ngerti lagi,18
kalau ptm pengen pjj kalau pjj pengen duit aku mah,6
anna ptm lebih enak sekarang daring lagi,3
enakan ptm,5
sibuk minta izin ptm malah safari promo dengar suara calon presiden asik,14
lain ptm gua sakit rumah,-9
ok sekolah gue balik ptm terbatas lagi,1
pantesan kemarin usulan ptm anak sekolah ditolak rupanya karena sudah kadung punya rencana,-1
gue ada anjing gamau ptm gila aja covid lagi drastis naik,-1
by the way balam udahh daringg karena siswanya banyak kena semoga lambarr tetap ptm,-1
anjing ptm lagi,-7
aku nder mencoba berpikir lebih jernih kalau pjj kebanyakan main males offcam sudah merhatiin kalau ptm asik walaupun sepi kelasnya rasanya kaya bimbingan belajar lebih fokus ditambah pasti ada catatan mata pelajaran kalau ptm,29.75
lagi pjj katanya ptm gatau perpanjang lagi,-8
ab salah strategi pintar mengubah jadi panggung politik aslinya perlu minta persetujuan karena kewenangan daerah buat ngurangin ptm misal jadi kalau stop mungkin belum maunya ptm minta perstujuan lbp jelas ngaco,4.5
penting cari jalan keluar biar merugikan dikanal berita sudah bagus idenya ptm tempat usaha dibatasi tempat usaha langgar prokes dibatasi ternyata sadari melebih aturan,-14
mata pelajaran sesuai jadwal ptm bangsat jadi ngacak,-1
gua mau nangis males karena mendengar berita ptm  sudah mana ulangan diundur melulu gua sedih bangett,-24
morning makji sedih banget aku karena sudah ptm lagi,-4
ndak tau sekolahku ptm,-7
ptm soalnya kelas gue lebih enak kamar gue,-5
ptm stop aja plis beresiko bangett,-4
jangan lupa sarapan mandi pagi kalian semangat buat pjj ptm kuliah kerja,7
semangat nder semoga cepat balik ptm lagi,1
semenjak ptm gue sudah begadang,-1
pjj sjdbdjejdifj sangat menyedihkan pjj ptm,-8
gue sudah mulai ptm keinget gapernah ketemu crush gue sekolah gue pengen ketemu krass,0
semangat nder semoga cepat balik ptm lagi,1
susah memahami jalan pikirannya memprediksi puncak wabah covid omicron februari penerbangan internasional dibuka keramaian mall terjadi tingkat hunian rs terjadi ptm jalan,1
oh maksudnya suka ptm sekarang mah aku pjj,4
sedih bangett ptm terbatas lagi,-7
hahaha lain ptm gue malah online lagi,-10
buat mikir buat ptm mending jangan deh covid lagi serem banget sekolah gua lockdown karena banyak positif sekitar keluarga gua kena stay safe healthy yaa sering sering vitamin sama makan sehat kalau dingin dingin coba tunda deh kalau sakit jangan panik,7
sch meski sekarang lagi pjj love ptm much,0
ptm setengah aja dah mau lulus bentar lagi soalnya,1
amin amin males pjj mau ptm lagi aja,5
walau pjj enak rumah pakai seragam ribet deh ptm seru bangett,4
yahhh semangat ptm ya,5
gue kalau abis pjj lama masuk ptm lagi suka jadi males anjir,-12
ptm gue cuma berangkat sekali wkwk,-15
