,date,tweet,tweet_tokens,tweet_tokens_WSW,tweet_normalized
149,2022-01-29 06:06:43+00:00,yang penting itu ptm ditunda dulu bulan dan kantor wfh atau wfh ini lebih,"['yang', 'penting', 'itu', 'ptm', 'ditunda', 'dulu', 'bulan', 'dan', 'kantor', 'wfh', 'atau', 'wfh', 'ini', 'lebih']","['penting', 'ptm', 'ditunda', 'kantor', 'wfh', 'atau', 'wfh', 'lebih']",penting ptm ditunda kantor wfh atau wfh lebih
150,2022-01-29 05:50:00+00:00,sch kalian yang dom depok pas liat berita kayak gini masih ptm atau balik ke pjj lagi kalo sekolah send,"['sch', 'kalian', 'yang', 'dom', 'depok', 'pas', 'liat', 'berita', 'kayak', 'gini', 'masih', 'ptm', 'atau', 'balik', 'ke', 'pjj', 'lagi', 'kalo', 'sekolah', 'send']","['sch', 'kalian', 'dom', 'depok', 'liat', 'berita', 'kayak', 'ptm', 'atau', 'balik', 'pjj', 'lagi', 'kalo', 'sekolah', 'send']",sch kalian dom depok liat berita kayak ptm atau balik pjj lagi kalo sekolah send
151,2022-01-29 05:37:08+00:00,sebenernya takut ptm gini tapi jujur ngga mau pjj anjir bisa gila kalo pjj lagi mending aja lah ya,"['sebenernya', 'takut', 'ptm', 'gini', 'tapi', 'jujur', 'ngga', 'mau', 'pjj', 'anjir', 'bisa', 'gila', 'kalo', 'pjj', 'lagi', 'mending', 'aja', 'lah', 'ya']","['sebenernya', 'takut', 'ptm', 'jujur', 'mau', 'pjj', 'anjir', 'gila', 'kalo', 'pjj', 'lagi', 'mending', 'aja']",sebenernya takut ptm jujur mau pjj anjir gila kalo pjj lagi mending aja
152,2022-01-29 05:25:10+00:00,ptm tp tok mbak hehe sma malah ditutup total jd full daring wkwk,"['ptm', 'tp', 'tok', 'mbak', 'hehe', 'sma', 'malah', 'ditutup', 'total', 'jd', 'full', 'daring', 'wkwk']","['ptm', 'tp', 'tok', 'mbak', 'sma', 'malah', 'ditutup', 'total', 'jd', 'full', 'daring', 'wkwk']",ptm tp tok mbak sma malah ditutup total jd full daring wkwk
153,2022-01-29 05:24:40+00:00,ptm kaloo ptm tuhh mainn circle kaloo udah ketemu sekelas semua ga seruuu jadii mending yg,"['ptm', 'kaloo', 'ptm', 'tuhh', 'mainn', 'circle', 'kaloo', 'udah', 'ketemu', 'sekelas', 'semua', 'ga', 'seruuu', 'jadii', 'mending', 'yg']","['ptm', 'kaloo', 'ptm', 'tuhh', 'mainn', 'circle', 'kaloo', 'udah', 'ketemu', 'sekelas', 'semua', 'seruuu', 'jadii', 'mending', 'yg']",ptm kaloo ptm tuhh mainn circle kaloo udah ketemu sekelas semua seruuu jadii mending yang
154,2022-01-29 05:05:32+00:00,ni ptm tar lama lama pjj aamiin,"['ni', 'ptm', 'tar', 'lama', 'lama', 'pjj', 'aamiin']","['ptm', 'tar', 'lama', 'lama', 'pjj', 'aamiin']",ptm tar lama lama pjj aamiin
155,2022-01-29 04:52:42+00:00,waaa sebetulnya aku ngerti sih kenapa papamu ngga bolehin soalnya omicron emang lagi ngejamur bange,"['waaa', 'sebetulnya', 'aku', 'ngerti', 'sih', 'kenapa', 'papamu', 'ngga', 'bolehin', 'soalnya', 'omicron', 'emang', 'lagi', 'ngejamur', 'bange']","['waaa', 'sebetulnya', 'aku', 'ngerti', 'papamu', 'bolehin', 'soalnya', 'omicron', 'emang', 'lagi', 'ngejamur', 'bange']",waaa sebetulnya aku ngerti papamu bolehin soalnya omicron emang lagi ngejamur bange
156,2022-01-29 03:38:31+00:00, prefer karna situasi ga sepenuhnya memungkinkan aku udah ptm dan asli sebenernya enakan ptm materi,"['prefer', 'karna', 'situasi', 'ga', 'sepenuhnya', 'memungkinkan', 'aku', 'udah', 'ptm', 'dan', 'asli', 'sebenernya', 'enakan', 'ptm', 'materi']","['prefer', 'karna', 'situasi', 'sepenuhnya', 'memungkinkan', 'aku', 'udah', 'ptm', 'asli', 'sebenernya', 'enakan', 'ptm', 'materi']",prefer karna situasi sepenuhnya memungkinkan aku udah ptm asli sebenernya enakan ptm materi
157,2022-01-29 03:26:50+00:00,belum pernah ptm tapi aku pengen ngerasain ptm soalnya tementemen yg aku kenal ada di sesi,"['belum', 'pernah', 'ptm', 'tapi', 'aku', 'pengen', 'ngerasain', 'ptm', 'soalnya', 'tementemen', 'yg', 'aku', 'kenal', 'ada', 'di', 'sesi']","['belum', 'pernah', 'ptm', 'aku', 'pengen', 'ngerasain', 'ptm', 'soalnya', 'tementemen', 'yg', 'aku', 'kenal', 'ada', 'di', 'sesi']",belum pernah ptm aku pengen ngerasain ptm soalnya tementemen yang aku kenal ada di sesi
158,2022-01-29 02:46:12+00:00,iyaa katanya bbrp uda pjj tp klo di domku buat sma diganti ptm pjj klo gasalah pake sesi buat smp masi ptm,"['iyaa', 'katanya', 'bbrp', 'uda', 'pjj', 'tp', 'klo', 'di', 'domku', 'buat', 'sma', 'diganti', 'ptm', 'pjj', 'klo', 'gasalah', 'pake', 'sesi', 'buat', 'smp', 'masi', 'ptm']","['iyaa', 'katanya', 'bbrp', 'uda', 'pjj', 'tp', 'klo', 'di', 'domku', 'buat', 'sma', 'diganti', 'ptm', 'pjj', 'klo', 'gasalah', 'pake', 'sesi', 'buat', 'smp', 'ptm']",iyaa katanya bbrp uda pjj tp klo di domku buat sma diganti ptm pjj klo gasalah pake sesi buat smp ptm
159,2022-01-29 02:17:10+00:00,ptm enak agak sepi,"['ptm', 'enak', 'agak', 'sepi']","['ptm', 'enak', 'agak', 'sepi']",ptm enak agak sepi
160,2022-01-29 00:41:28+00:00,awalnya soalnya lebih dikit orangnya lebih tenang ternyata seruan ptm banyak temen di kelas sa,"['awalnya', 'soalnya', 'lebih', 'dikit', 'orangnya', 'lebih', 'tenang', 'ternyata', 'seruan', 'ptm', 'banyak', 'temen', 'di', 'kelas', 'sa']","['awalnya', 'soalnya', 'lebih', 'dikit', 'orangnya', 'lebih', 'tenang', 'ternyata', 'seruan', 'ptm', 'banyak', 'temen', 'di', 'kelas', 'sa']",awalnya soalnya lebih dikit orangnya lebih tenang ternyata seruan ptm banyak temen di kelas sa
161,2022-01-29 00:33:44+00:00,rt jogja berita jogja hari ini sultan minta ptm dikurangi,"['rt', 'jogja', 'berita', 'jogja', 'hari', 'ini', 'sultan', 'minta', 'ptm', 'dikurangi']","['rt', 'jogja', 'berita', 'jogja', 'sultan', 'minta', 'ptm', 'dikurangi']",rt jogja berita jogja sultan minta ptm dikurangi
162,2022-01-29 00:29:11+00:00,biar ada istirahat nya terus aku gk suka yg rame tapi mingdep angkatan di sekolah ku ptm,"['biar', 'ada', 'istirahat', 'nya', 'terus', 'aku', 'gk', 'suka', 'yg', 'rame', 'tapi', 'mingdep', 'angkatan', 'di', 'sekolah', 'ku', 'ptm']","['biar', 'ada', 'istirahat', 'aku', 'suka', 'yg', 'rame', 'mingdep', 'angkatan', 'di', 'sekolah', 'ptm']",biar ada istirahat aku suka yang rame mingdep angkatan di sekolah ptm
163,2022-01-29 00:16:47+00:00,semoga bsk senin ga lagi deh ptm nya,"['semoga', 'bsk', 'senin', 'ga', 'lagi', 'deh', 'ptm', 'nya']","['semoga', 'bsk', 'lagi', 'deh', 'ptm']",semoga bsk lagi deh ptm
164,2022-01-29 00:15:43+00:00,official beda min tiap kotaa kl di tempat aku liburr ada yg shift juga soalnya ptm,"['official', 'beda', 'min', 'tiap', 'kotaa', 'kl', 'di', 'tempat', 'aku', 'liburr', 'ada', 'yg', 'shift', 'juga', 'soalnya', 'ptm']","['official', 'beda', 'min', 'tiap', 'kotaa', 'kl', 'di', 'tempat', 'aku', 'liburr', 'ada', 'yg', 'shift', 'soalnya', 'ptm']",official beda min tiap kotaa kalau di tempat aku liburr ada yang shift soalnya ptm
165,2022-01-29 00:14:53+00:00,ptm sumpahhhh lebih tenangg,"['ptm', 'sumpahhhh', 'lebih', 'tenangg']","['ptm', 'sumpahhhh', 'lebih', 'tenangg']",ptm sumpahhhh lebih tenangg
166,2022-01-28 23:15:13+00:00,berita jogja hari ini sultan minta ptm dikurangi,"['berita', 'jogja', 'hari', 'ini', 'sultan', 'minta', 'ptm', 'dikurangi']","['berita', 'jogja', 'sultan', 'minta', 'ptm', 'dikurangi']",berita jogja sultan minta ptm dikurangi
167,2022-01-28 20:59:32+00:00,ptm karena di sesi lain banyak masalaahhh gak mau kebawa bawa,"['ptm', 'karena', 'di', 'sesi', 'lain', 'banyak', 'masalaahhh', 'gak', 'mau', 'kebawa', 'bawa']","['ptm', 'karena', 'di', 'sesi', 'lain', 'banyak', 'masalaahhh', 'mau', 'kebawa', 'bawa']",ptm karena di sesi lain banyak masalaahhh mau kebawa bawa
