date,original,tweet
2022-01-28 11:16:50+00:00,ada sk menteri mengenai teknis pelaksanaan saya sendiri sebagai,ada sk menteri mengenai teknis pelaksanaan saya sendiri sebagai
2022-01-28 11:15:22+00:00,jaziel emm td dipulangin cepet sebaada yang kena covid kakel gue sklh gue yang udh ptm tau ba,jaziel emm td dipulangin cepet sebaada kena covid kakel gue sklh gue udh ptm tau ba
2022-01-28 11:11:51+00:00,ptm enak karna materi masuk otak interaksi langsung sama temen amp guru pjj enak,ptm enak karna materi masuk otak interaksi langsung sama temen amp guru pjj enak
2022-01-28 11:11:41+00:00,adek aku jdi ptm skrng krn tmnnya masalahnya orngnya sekolah kasian sama tmn yang lain,adek aku jdi ptm skrng krn tmnnya masalahnya orngnya sekolah kasian sama tmn lain
2022-01-28 11:08:42+00:00,rt menurut aku semenjak ptm tugas hampir berkurang nan menurut aku kaloe pjj tugas karena eman,rt menurut aku semenjak ptm tugas hampir berkurang nan menurut aku kaloe pjj tugas karena eman
2022-01-28 11:04:22+00:00,menurut aku semenjak ptm tugas hampir berkurang nan menurut aku kaloe pjj tugas kar,menurut aku semenjak ptm tugas hampir berkurang nan menurut aku kaloe pjj tugas kar
2022-01-28 11:00:05+00:00,covid diy naik dua lipat sultan ptm di sekolah dipangkas persen,covid diy naik dua lipat sultan ptm di sekolah dipangkas persen
2022-01-28 10:53:45+00:00,ptm seru bgtt tp capeknya ituloh klo pjj capek langsung tiduran,ptm seru bgtt tp capeknya ituloh klo pjj capek langsung tiduran
2022-01-28 10:52:19+00:00,sejujurnya tp kalau msh capek kalau gurunya bagi diri secara adil bagi yang ptm,sejujurnya tp kalau msh capek kalau gurunya bagi diri secara adil bagi ptm
2022-01-28 10:49:30+00:00,ptm biar deket sama semua tmn di kelas kalo di bagi sesi jadii kenal aja cang,ptm biar deket sama semua tmn di kelas kalo di bagi sesi jadii kenal aja cang
2022-01-28 10:40:00+00:00,juru bicara satgas penanganan covid kota depok dadang wihana merekomendasikan pihak sekolah membagi pelaksanaan,juru bicara satgas penanganan covid kota depok dadang wihana merekomendasikan pihak sekolah membagi pelaksanaan
2022-01-28 10:39:23+00:00,ptm maunya cuman supaya lebih dekat sama teman teman ikut ptm,ptm maunya cuman supaya lebih dekat sama teman teman ikut ptm
2022-01-28 10:31:47+00:00,pengen pengen gue maunya kaya kemaren soalnya semenjak ptm tugas kelompok gue makin ngadi,pengen pengen gue maunya kaya kemaren soalnya semenjak ptm tugas kelompok gue makin ngadi
2022-01-28 10:19:36+00:00,persen soalnya temen gua di sesi semua gua di sesi dua klo ptm kayak gaenak jauh jauhan bener duduknya,persen soalnya temen gua di sesi semua gua di sesi dua klo ptm kayak gaenak jauh jauhan bener duduknya
2022-01-28 10:18:37+00:00,buatku lebih enak ptm,buatku lebih enak ptm
2022-01-28 10:17:50+00:00,sama kayak sekolahku walau ptm ada positif malah sekolahku rencananya mau ptm depan,sama kayak sekolahku walau ptm ada positif malah sekolahku rencananya mau ptm depan
2022-01-28 10:06:05+00:00,pg mengusulkan agar penerapan pembalajaran tatap muka ptm persen diubah menjadi persen testing di sekola,pg mengusulkan agar penerapan pembalajaran tatap muka ptm persen diubah menjadi persen testing di sekola
2022-01-28 10:04:51+00:00,kalo ptm yakin kls survive tp ptm kerja kelompok mulu,kalo ptm yakin kls survive tp ptm kerja kelompok mulu
2022-01-28 10:00:01+00:00,ptm gua sanggup kyknya kalo ptm,ptm gua sanggup kyknya kalo ptm
2022-01-28 09:58:31+00:00,sedih banget masa ptm lagi,sedih banget masa ptm lagi
2022-01-28 09:56:50+00:00,wkwkwkw pengen ptm lagi aja,wkwkwkw pengen ptm lagi aja
2022-01-28 09:51:41+00:00,ternyata ada untungnya ptm tiap jadi ikut takut kalo ptm,ternyata ada untungnya ptm tiap jadi ikut takut kalo ptm
2022-01-28 09:46:49+00:00,ptm kalo ptm penyampaian materinya sama rata dikelas gue sendiri aja udah ngerasain,ptm kalo ptm penyampaian materinya sama rata dikelas gue sendiri aja udah ngerasain
2022-01-28 09:45:43+00:00,enakan jelass ptm di rumah kaya dongo,enakan jelass ptm di rumah kaya dongo
2022-01-28 09:45:23+00:00,jika angka kasus di jakarta semakin naik level ppkm jadi level maka otomatis ptm dibatasi maksimal perse,jika angka kasus di jakarta semakin naik level ppkm jadi level maka otomatis ptm dibatasi maksimal perse
2022-01-28 09:44:25+00:00,ptm hehehe soalnya kalo circle jdinya dehh,ptm hehehe soalnya kalo circle jdinya dehh
2022-01-28 09:43:24+00:00,sebelum ptm di sekolah semua kegiatan belajar mengajar mpls atau fortasi di laksanain secara daring,sebelum ptm di sekolah semua kegiatan belajar mengajar mpls atau fortasi di laksanain secara daring
2022-01-28 09:40:56+00:00,gamau maunya aja soalnya lebih fokus anak anak kls gua ptm berisik banget sampe gu,gamau maunya aja soalnya lebih fokus anak anak kls gua ptm berisik banget sampe gu
2022-01-28 09:35:12+00:00,yashhhhh mingdep ptm alhamdulillah,yashhhhh ptm alhamdulillah
2022-01-28 09:32:21+00:00,pengen ptm aja jadi tetep ada sesi di gabung,pengen ptm aja jadi tetep ada sesi di gabung
2022-01-28 09:31:44+00:00,gasih ptm ajhhhh,gasih ptm ajhhhh
2022-01-28 09:23:53+00:00,mungkin aku tugas ptm ngotak parah,mungkin aku tugas ptm ngotak parah
2022-01-28 08:47:34+00:00,sama nder tp ak ptm nyamasih,sama nder tp ak ptm nyamasih
2022-01-28 08:14:40+00:00,belum pernah ptm tp pengen banget nyobain yang krn kaloo ptm berasa beda kelas dengan yang beda sesi,belum pernah ptm tp pengen banget nyobain krn kaloo ptm berasa beda kelas beda sesi
2022-01-28 08:05:21+00:00,ptm krn rame amp lebih mudah ngerti materinya,ptm krn rame amp lebih mudah ngerti materinya
2022-01-28 07:59:36+00:00,satgas merekomendasikan ptm dibagi sesi jumlah siswa mengikuti ptm tiap sesinya yakni persen dari kapasi,satgas merekomendasikan ptm dibagi sesi jumlah siswa mengikuti ptm tiap sesinya yakni persen dari kapasi
2022-01-28 07:40:00+00:00,persatuan guru republik indonesia mendesak pemerintah mengambil langkah bijak terkait merebaknya covid varian om,persatuan guru republik indonesia mendesak pemerintah mengambil langkah bijak terkait merebaknya covid varian om
2022-01-28 07:25:02+00:00,pemerintah kota depok mengajukan surat kepada menteri pendidikan agar ptm persen kembali dievaluasi dikem,pemerintah kota depok mengajukan surat kepada menteri pendidikan agar ptm persen kembali dievaluasi dikem
