date,tweet_original,tweet
2021-11-25 13:55:54+00:00,gue takut full PTM karena apa? karena disana tugas-tugas udah pada baris mau ngejar gue,gue takut full ptm karena karena tugas tugas sudah baris mau ngejar gue
2021-11-25 13:50:30+00:00,ptm gak enaknya cuma pas kelompokan,pengen pjj pengen ptm
2021-11-25 13:45:54+00:00,"50% pengen pjj, tapi 50% pengen ptm",balik ptm lagi karena ada positif
2021-11-25 13:45:49+00:00,harusnya jadi online siii aaa iya ada seru nya jg sihh ptm',harusnya jadi online aaa iya ada seru ptm
2021-11-25 13:43:50+00:00,@roguenter iyaa capek ptm,iyaa capek ptm
2021-11-25 13:42:42+00:00,@kieeesaaa sama anjir klo pjj emg banyak bet tugasnya ga kek ptm',sama anjir kalau pjj emg banyak banget tugasnya kayak ptm
2021-11-25 13:40:26+00:00,@menghiIank pdhal baru sebulan ptm tpi udh mau remuk anjir badan ini ,ptm sudah mau remuk anjir badan
2021-11-24 13:40:05+00:00,"ptm, pelajarannya lebih masuk ke otak. kalo pjj jujur aja guruku jarang banget zoom, jadi cuma ngasih materi",ptm pelajarannya lebih masuk otak kalau pjj jujur aja guruku jarang banget zoom jadi cuma ngasih materi
2021-11-24 13:40:01+00:00,drpd 50% ptm mending 100% pjj,ptm mending pjj
2021-11-24 13:39:29+00:00,"@kieeesaaa bgst doain skolah gw juga biar pjj, males bangun pagi anj klo ptm",bangsat doain sekolah gue biar pjj males bangun pagi anjing kalau ptm
2021-11-24 13:37:23+00:00,lama2 gw jadi pengen pjj aja gak ptm,lama gue jadi pengen pjj aja ptm
2021-11-24 13:34:37+00:00,"Udh ptm 100%, jdi ptmt lagi sialan",sudah ptm jdi ptmt lagi sialan
2021-11-24 13:33:02+00:00,ada kasus positif di sekolah?? tetap tenang dan ptm spt biasa rambut gondrong/dicat?? pulang dl mas mbak dibenerin dl rambutnya nggih,ada kasus positif sekolah tetap tenang ptm biasa rambut gondrong dicat pulang dulu mas mbak dibenerin dulu rambutnya nggih
2021-11-24 13:31:33+00:00,kembaliin waktu tidurku woiiii anjir ptm makin banyak aja ni tugas,kembaliin tidurku woi anjir ptm makin banyak aja tugas
2021-11-24 13:30:22+00:00,males besok ptm,males besok ptm
2021-11-24 13:29:01+00:00,"@Janeberly_ Gw ga bosen, cmn ngerasa lebih seru PTM aja",gue bosen cuma ngerasa lebih seru ptm aja
2021-11-24 13:28:47+00:00,@jejesszz_a srius? :((( moga ptm gasih dah bosen gt,serius moga ptm dah bosen
2021-11-24 13:28:45+00:00,"@wootroopers udah gt sklh dah ptm 100%,trs grgr itu naik lg kasusnya, mana ada omicron segala'",sudah sekolah dah ptm gegara naik lagi kasusnya ada omicron segala
2021-11-24 13:26:24+00:00,sekolah sender mau balik ptm 50% lagi huhu,sekolah sender mau balik ptm lagi huhu
2021-11-24 13:25:33+00:00,"hadueee mtk menyusahkan, untung besok pjj, kalo bsk ptm ketar ketir aku blm ngerjain pr mtk",haduh mtk menyusahkan untung besok pjj kalau besok ptm ketar ketir aku belum ngerjain pr mtk
2021-11-24 13:24:59+00:00,@ftjaeyuun PTM DONG BIAR SEMANGAT BELAJAR NYA',ptm dong biar semangat belajar
2021-11-24 13:24:07+00:00,"gatau lagi bingung mau ngapain di rumah, mau ptm :('",gatau lagi bingung mau ngapain rumah mau ptm
2021-11-24 13:22:25+00:00,bsk ptm 50% lagi tp kok ak galau  LAGIAN KPN JD BANYAK YG POSITIF SIH ELAH,besok ptm lagi aku galau lagian jadi banyak positif elah
2021-11-24 13:21:24+00:00,sudah lelah ptm,sudah lelah ptm
2021-11-24 13:21:00+00:00,Males banget ptm besok,males banget ptm besok
2021-11-24 13:18:58+00:00,bsk sklh ptm malesnya ampe ke tulang,besok sekolah ptm males sampai tulang
2021-11-24 13:18:50+00:00,@newsplatter: Sekolah gak mau stop PTM aja ya? Banyak anak yg belum usia vaksin. ,sekolah mau stop ptm aja ya banyak anak belum usia vaksin
2021-11-25 13:17:01+00:00,semoga pjj sampe tahun ajaran berakhir ya allah gatau gak suka ptm,semoga pjj sampai tahun ajaran berakhir ya allah gatau suka ptm
2021-11-25 13:16:22+00:00,"bajingan ptm, baru awal gini tugas presentasi banyak banget ngentot",bajingan ptm baru awal tugas presentasi banyak banget ngentot
