created_at,username,tweet
7/29/2021 3:12,AKhotim,mila vaksin astrazeneca tidak menggunakan tripsin babi tidak ada hukum darurat yg perlu dipermasalahkan utas karena bany 
,,
7/29/2021 3:12,nfrshn,tolong repo group telegram ni sebarkan gambar arwah mak sedara saya tanpa kebenaran waris berita palsu mak seda 
,,
7/29/2021 3:12,Ilyasdomenick,ini penampakan buku oranye berisi tulisan tangan juliari soal pembagian kuota bansos covid 
,,
7/29/2021 3:12,92sguitarist,guys put your mask on ga usah kemana mana kalo ga penting minum vitamin jaga kesehatan biar corona cepet selesai e 
,,
7/29/2021 3:12,momoktomok,bm ketua pemuda ph dalam keadaan kritikal lepas dijangkiti covid 
,,
7/29/2021 3:12,Nurbilla_,hulu langat kenapa program vaksin diketuai menteri mosti tapi lepas tengok prestasi menteri kesihatan saya insaf dan so 
,,
7/29/2021 3:12,__roxxanne,at least kj lepaslah tahap minimum jadi menteri buat kerja jawab soalan cuba kau bayangkan adham baba urus vaksin nak 
,,
7/29/2021 3:12,sayatyaaa,aku yg mau vaksin tp masih harus medical checkup dulu dll ditambah saat spt ini rs lg ga kondusif harus nunda lagi kalian yg tinggal brgkt aja masih susah 
,,
7/29/2021 3:12,iam_zelt,rahadian nkri deva kafir nusantara berekor ardi arnoldii kafirnw mae priyo jk ras bosnia itu dulunya muslim ga lihat pasukan muslim ss bentukan nazi 
,,
7/29/2021 3:12,Barokahaamiin,bole kakak obatnya kakak kontroversi obat terapi covid 
,,
7/29/2021 3:12,SimonWamukota76,dira wizara ya afya imezidi kutoa onyo kwa wakenya kuepuka mikusanyiko ya kisiasa ikisema kenya isipotahadhari huenda 
,,
7/29/2021 3:12,Bon9kar_Politik,orang orang sepei inilah yg harus dipikirkan negeri ini dia mungkin ngga punya gadget untuk mengakses vaksin online t 
,,
7/29/2021 3:12,bangko_polsek,hindari penularan covid 
,,
7/29/2021 3:12,dio_nga,alhamdulilah sudah di vaksin pak diluar sana masih banyak orang bodoh dengan cara berpikir primitif amp kurangnya pemahaman akal sehat yg menolak di vaksin atau mungkin yg menolak itu sadar diri bahwa vaksin hanya diperuntukan buat manusia 
,,
7/29/2021 3:12,vihiiin,min aku cek persyaratan perjalanan domestik di jkt banjarmasin skrg udah gak pake surat keterangan perjalanan cukup vaksin pcr dan ehac apa betul min tolong dibantu terimakasih
,,
7/29/2021 3:12,Wisnoe19_,sehubungan dgn masa pandemik ketua dpr puan maharani jg meminta asn harus proaktif bisa menjadi solusi atas berbagai p 
,,
7/29/2021 3:12,rutan1medan,laksanakan bakti sosial kumham peduli kumham berbagi rutan kelas medan bagikan paket bantuan bagi masyarakat sekitar yang terdampak covid 
,,
7/29/2021 3:12,humaspolsekkpt,polsek bwi posko ppkm adalah ikhtiar dalam memastikan perekonomian masyarakat terap berjalan ditengah 
,,
7/29/2021 3:12,choiyaaaa,yup boleh jadi lepas vaksin even ko rasa tak ada simptom ko still kena rehat bnyak dia senang trigger
,,
7/29/2021 3:12,MINNALfm,kes baharu mengikut kategori 
,,
7/29/2021 3:12,fauzii_khsan,vaksin ulang ges minimal az yg diterima eropa
,,
7/29/2021 3:12,mnctrijaya,ketua dpd ri aa lanyalla mahmud mattalitti kembali menegaskan dukungan untuk vaksin nusantara 
,,
7/29/2021 3:12,snurulmawaddah_,kemaren dah diatur abis sempro harus vaksin jgn tunda eh ternyata ribet astagaaa
2022-02-02 04:10:29+00:00,MembacaSatu,virus corona tiba hilang amp lenyap di hari raya imlek hadir amp berkerumun tanpa prokes sdh dicontohkan oleh jokowi virus c 
2022-02-02 04:10:22+00:00,SuaraRa60576371,virus corona tiba hilang amp lenyap di hari raya imlek hadir amp berkerumun tanpa prokes sdh dicontohkan oleh jokowi virus c 
2022-02-02 04:10:21+00:00,22Kltn,pelda wiradi babinsa desa bulan koramil wonosari kodim klaten melaksanakan komsos bersama perangkat desa di kantor desa bulan kecamatan wonosari kabupaten klaten jalin sinergitas amp hinbau prokes upaya cegah penyebaran covid diwilayah binaan 
2022-02-02 04:10:16+00:00,dindapu19910437,bpom lampung jamin vaksin booster aman prokes tangkal omicron 
2022-02-02 04:10:15+00:00,sunatlaserbeam,ya allah rb kasus harian aku khawatir sama siswa mahasiswa yang saat ini lagi tatap muka sih apalagi banyak yg belum pada v 
2022-02-02 04:10:13+00:00,HurryKoRn,dimas riverheaven id jamgam cuma ss judul baiknya tampilkan link nya juga bro isinya bukan menghambat amp itu senada dg muhammadiyah kok saama mendukung program vaksin booster 
2022-02-02 04:10:11+00:00,HumasPolsekBgl,jangan malas pakai masker pandemi covid belum berakhir 
2022-02-02 04:10:08+00:00,ucayaaa,intinya jangan sampai virus bs masuk ke badan kita dg menutup pintu masuknya pake masker dan prokes lain bentengi imun spesifik 
2022-02-02 04:10:05+00:00,rst_soedjono,ayoo vaksin booster bagi masyarakat kab kota magelang khususnya lansia silahkan datang di rumkit tk ii dr soedjono dengan syarat sudah melakukan vaksinasi dan vaksin aman amp halal gratis hari rabu kamis dan jumat pukul wib jaya kesehatan angkatan darat 
2022-02-02 04:10:05+00:00,lpkaternate_,bersama puskesmas kota ternate bekerjasama dengan badan intelejen negara daerah maluku utara lpka ternate kemenkumham malut laksanakan kegiatan vaksinasi covid kepada andikpas baca selengkapnya di 
2022-02-02 04:10:04+00:00,apreiskagilang,tidak ada tempat tidur untuk picu pediatric intensive care unit atau ruang perawatan intensif untuk anak anak khusus co 
2022-02-02 04:10:04+00:00,jpnncom,kasus aktif di jakaa hingga selasa malam naik sebanyak kasus sehingga jumlah kasus aktif atau orang yang dirawat kini mencapai 
2022-02-02 04:10:03+00:00,KompasTV,badan pom terbitkan izin penggunaan darurat vaksin sinopharm untuk booster 
2022-02-02 04:10:03+00:00,ucayaaa,ini virus ngeri bener mereka udah ga peduli sama paru manusia tp tujuan penyerangannya mulai bergeser seolah olah nemu cara 
2022-02-02 04:09:59+00:00,tidaksemampaii_,oh booster ka kalo boleh tau itu jangka waktu dari vaksin ke berapa lama ka 
2022-02-02 04:09:54+00:00,chaatriex,corona sdng libur imlek 
2022-02-02 04:09:52+00:00,SakiinaQhiCO_33,guna mewaspadai penyebaran varian omicron presiden menekankan kepada jajaran tni polri untuk terus menggencarkan ge 
2022-02-02 04:09:49+00:00,KualuhHulu,pers polsek kualuh hulu melaksanakan pam monitor pelaksanaan vaksinasi covid yang ada diwilayah hukum polsek kualuh hulu rabu pkl wib 
